,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
317,Cedar City,US,37.6775,-113.0619,35.6,75,40,8.05,scattered clouds
318,Fuerte Olimpo,PY,-21.0415,-57.8738,71.98,73,2,4.09,clear sky
319,Nalut,LY,30.3333,10.85,73.98,23,50,22.35,scattered clouds
320,Sawakin,SD,19.1059,37.3321,85.62,40,16,13.11,few clouds
321,Okhotsk,RU,59.3833,143.3,21.6,76,66,4.41,broken clouds
322,Egvekinot,RU,66.3167,-179.1667,-0.35,95,8,4.88,clear sky
323,Tiksi,RU,71.6872,128.8694,9.39,95,24,2.82,few clouds
324,Avera,US,33.194,-82.5271,68.0,72,90,4.61,overcast clouds
325,Wucheng,CN,29.6008,118.175,71.01,83,100,1.5,overcast clouds
326,Hambantota,LK,6.1241,81.1185,89.6,70,40,9.22,scattered clouds
327,San Jose,US,37.3394,-121.895,51.01,76,0,2.26,clear sky
328,Martapura,ID,-3.4167,114.85,82.4,83,40,4.61,scattered clouds
329,Bahia Blanca,AR,-38.7196,-62.2724,62.6,66,0,15.7,clear sky
330,Altar,MX,30.7,-111.8167,64.74,26,100,3.0,overcast clouds
331,Along,IN,28.1667,94.7667,77.59,56,100,2.19,overcast clouds
332,Ulladulla,AU,-35.35,150.4667,68.0,32,0,12.66,clear sky
333,Lodwar,KE,3.1191,35.5973,96.21,25,15,13.76,few clouds
334,Alekseyevsk,RU,57.8406,108.3492,35.91,61,82,8.01,light snow
335,Dalvik,IS,65.9702,-18.5286,44.6,76,75,11.5,drizzle
336,Kavaratti,IN,10.5669,72.642,84.36,66,8,2.53,clear sky
337,Williston,US,48.147,-103.618,28.99,87,100,1.01,overcast clouds
338,Hay River,CA,60.8156,-115.7999,32.0,55,34,3.44,scattered clouds
339,Pisco,PE,-13.7,-76.2167,64.4,82,93,2.3,smoke
340,Karakol,KG,42.4907,78.3936,57.94,37,94,4.16,overcast clouds
341,Ahipara,NZ,-35.1667,173.1667,63.34,77,76,8.55,broken clouds
342,Hualmay,PE,-11.0964,-77.6139,65.44,87,100,6.13,overcast clouds
343,Zhob,PK,31.3411,69.4481,79.93,17,99,20.2,overcast clouds
344,Acapulco,MX,16.8634,-99.8901,76.59,64,99,5.73,overcast clouds
345,Petatlan,MX,17.5167,-101.2667,72.01,55,5,3.85,clear sky
346,Sinnamary,GF,5.3833,-52.95,77.07,89,100,6.11,overcast clouds
